"age","workclass","education","education.num","marital.status","occupation","relationship","race","sex","hours.per.week","profit","married","milk","bread","butter","honey","jam","peanut","Badam","Cashew","pista","Tea","Coffee","Biscuits","Nuts"
25,5,12,9,5,7,2,5,2,35,0,0,T,T,T,F,F,F,F,T,T,T,F,T,T
57,2,10,13,3,11,1,3,2,40,0,1,T,T,T,F,T,F,T,T,T,F,T,F,F
53,5,12,9,3,8,1,5,2,38,0,1,T,T,T,T,T,T,T,T,T,T,F,F,F
44,5,13,14,1,5,5,5,1,40,0,0,T,T,T,T,T,F,F,T,F,F,F,F,F
41,8,9,11,3,4,1,5,2,40,0,1,F,F,F,F,T,F,F,T,F,T,T,T,T
29,5,9,11,5,11,2,5,2,43,0,0,T,T,T,F,T,T,F,T,F,T,F,T,F
25,5,16,10,3,5,6,4,1,40,0,1,F,F,F,F,F,T,F,F,T,T,T,F,F
18,5,12,9,5,9,4,5,1,30,0,0,T,T,T,T,F,F,F,F,T,F,T,F,F
47,5,15,15,3,11,6,5,1,60,-1902,1,F,F,F,F,T,F,F,F,T,F,T,F,T
50,2,10,13,1,5,2,5,2,55,0,0,F,F,F,T,F,T,T,T,F,F,T,T,T
47,6,12,9,1,5,2,5,2,60,0,0,F,F,F,T,T,T,T,F,F,F,F,T,F
43,5,16,10,3,14,1,5,2,40,0,1,F,F,F,F,F,T,T,T,F,F,F,F,T
46,5,5,3,3,8,1,5,2,40,0,1,T,T,T,T,T,T,F,T,T,T,F,T,T
35,5,9,11,3,9,1,5,2,40,0,1,T,T,T,T,F,F,T,T,F,F,F,F,T
41,5,12,9,3,2,1,5,2,48,0,1,F,F,F,T,T,F,F,F,F,F,F,T,T
30,5,12,9,3,8,1,5,2,40,5013,1,T,T,T,T,T,T,T,F,F,F,T,F,T
30,5,10,13,3,13,1,5,2,40,2407,1,T,T,T,T,T,T,T,T,T,T,T,T,F
32,1,6,4,4,1,2,5,2,40,0,0,F,F,F,T,F,T,T,T,F,T,F,T,F
48,5,12,9,3,15,1,5,2,40,0,1,T,T,T,T,F,T,F,F,F,T,F,F,F
42,5,11,16,3,11,1,5,2,45,0,1,F,F,F,T,T,F,F,F,F,F,F,T,F
29,5,16,10,1,14,2,5,2,58,0,0,T,T,T,T,F,F,F,F,T,F,T,T,T
36,5,12,9,3,4,1,5,2,40,0,1,F,F,F,T,F,F,F,T,T,T,F,F,F
28,5,16,10,1,2,2,5,1,40,0,0,F,F,F,T,T,F,F,F,F,T,F,T,T
53,5,12,9,3,2,6,5,1,40,0,1,T,T,T,F,F,F,F,T,T,F,T,F,T
49,6,16,10,3,5,1,5,2,50,0,1,F,F,F,T,T,F,T,F,F,F,F,T,F
25,1,16,10,5,1,4,5,2,40,0,0,F,F,F,T,T,F,F,F,F,F,T,T,T
19,5,16,10,5,11,4,5,2,32,0,0,T,T,T,F,F,T,F,F,F,F,F,T,T
31,5,10,13,6,13,4,3,1,40,0,0,T,T,T,T,T,T,F,T,F,T,T,F,F
29,7,10,13,3,13,1,5,2,70,0,1,F,F,F,F,T,F,T,T,T,T,F,F,T
23,5,16,10,5,8,2,5,2,40,0,0,F,F,F,T,T,F,T,T,T,F,F,T,T
79,5,16,10,3,11,3,5,2,20,0,0,T,T,T,F,F,T,F,T,F,T,F,T,F
27,5,12,9,5,9,4,5,2,40,0,0,T,T,T,F,T,F,F,F,F,T,T,F,T
40,5,8,12,3,2,1,5,2,40,0,1,T,T,T,T,T,T,T,T,F,F,T,T,T
67,1,1,6,3,1,1,5,2,2,0,1,T,T,T,F,F,T,T,F,F,T,F,T,F
18,5,2,7,5,9,4,5,1,22,0,0,F,F,F,F,F,T,T,F,T,F,F,T,F
31,3,6,4,3,6,1,5,2,40,0,1,F,F,F,T,T,T,F,T,F,T,F,F,F
18,5,12,9,5,13,2,5,2,30,0,0,T,T,T,F,T,F,T,F,F,F,F,F,F
52,5,10,13,3,9,1,5,2,40,0,1,T,T,T,F,F,T,F,T,T,T,F,T,T
46,5,12,9,3,9,6,5,1,40,0,1,F,F,F,F,T,F,F,T,T,T,T,T,F
59,5,12,9,3,13,1,5,2,48,0,1,T,T,T,T,F,F,T,F,T,T,T,T,F
44,5,12,9,1,4,2,5,1,40,14344,0,F,F,F,F,F,F,T,T,F,F,F,F,T
53,5,12,9,1,13,4,5,1,35,0,0,F,F,F,F,T,T,F,F,F,F,F,F,T
49,3,12,9,3,12,1,5,2,40,0,1,F,F,F,F,T,F,T,F,T,T,T,F,T
33,5,13,14,3,11,1,5,2,50,0,1,F,F,F,F,T,F,T,F,T,F,T,T,F
30,5,7,5,5,13,2,5,2,40,0,0,F,F,F,F,T,F,F,T,T,T,T,F,F
43,2,11,16,5,11,2,5,1,50,0,0,T,T,T,T,T,T,T,F,F,T,T,F,F
57,5,9,11,3,11,1,5,2,40,0,1,F,F,F,F,T,F,T,T,T,F,T,T,T
37,5,16,10,1,4,5,5,1,40,0,0,T,T,T,F,T,F,T,F,T,F,T,F,T
28,5,16,10,1,8,5,3,1,25,0,0,F,F,F,F,T,F,T,F,T,F,F,F,F
30,5,12,9,3,13,6,2,1,35,-1573,1,F,F,F,F,T,T,F,F,F,F,F,F,F
34,3,10,13,3,12,1,5,2,40,0,1,T,T,T,F,T,T,T,F,T,T,T,T,F
29,3,16,10,5,7,2,5,2,50,0,0,T,T,T,T,T,T,T,F,F,F,F,F,T
48,7,11,16,3,11,1,5,2,60,-1902,1,T,T,T,T,T,F,F,F,T,T,F,F,F
37,5,16,10,3,13,1,5,2,48,0,1,T,T,T,T,F,T,T,F,T,T,T,F,T
48,5,8,12,1,5,5,5,1,40,0,0,F,F,F,T,T,T,T,T,T,F,T,F,T
32,2,12,9,5,9,4,3,2,40,0,0,T,T,T,F,F,F,T,T,F,F,F,T,T
76,5,13,14,3,5,1,5,2,40,0,1,F,F,F,F,T,F,F,F,F,F,F,T,F
44,5,10,13,3,5,1,5,2,60,15024,1,T,T,T,T,F,F,T,F,T,T,T,F,F
47,7,13,14,5,11,2,5,1,50,0,0,T,T,T,T,F,T,F,T,T,T,T,T,F
20,5,16,10,5,14,4,5,1,40,0,0,T,T,T,F,F,F,T,T,T,F,F,F,F
29,5,12,9,5,4,2,5,2,40,0,0,T,T,T,F,T,T,F,F,F,F,T,T,F
32,6,12,9,3,4,1,5,2,40,7688,1,T,T,T,T,T,T,T,F,F,T,T,T,T
17,1,1,6,5,1,4,5,1,32,34095,0,T,T,T,T,T,F,F,F,T,T,F,T,F
30,5,2,7,5,7,4,5,2,40,0,0,F,F,F,T,F,T,T,T,T,T,T,F,T
31,3,12,9,5,2,2,5,1,40,0,0,T,T,T,T,T,F,F,T,T,F,F,F,T
42,5,12,9,3,7,1,5,2,40,0,1,F,F,F,T,F,T,T,T,F,F,T,F,F
24,5,10,13,5,13,3,5,2,40,0,0,F,F,F,T,F,T,F,T,T,T,T,F,F
38,5,15,15,3,11,1,5,2,40,0,1,F,F,F,F,F,T,T,F,F,T,T,T,F
56,7,12,9,3,9,1,5,2,50,-1887,1,T,T,T,T,T,T,T,T,T,F,T,T,T
28,5,16,10,3,13,6,5,1,25,4064,1,F,F,F,F,F,T,T,F,F,T,F,F,T
36,5,12,9,5,8,4,5,1,40,0,0,T,T,T,F,T,T,T,F,F,T,T,F,T
53,5,7,5,3,7,1,5,2,50,0,1,F,F,F,T,F,T,F,F,F,T,T,T,T
56,6,16,10,3,13,1,5,2,50,0,1,F,F,F,F,F,F,T,F,T,T,T,T,F
49,3,9,11,3,4,1,3,2,40,0,1,T,T,T,F,F,F,F,T,F,F,T,F,T
55,5,16,10,3,13,1,5,2,56,0,1,F,F,F,T,F,F,F,F,F,T,T,F,F
22,5,12,9,5,4,2,5,2,41,0,0,F,F,F,T,T,F,T,T,T,F,T,F,T
21,5,16,10,5,9,4,5,1,40,0,0,F,F,F,F,F,T,F,F,F,T,F,F,F
40,5,10,13,3,5,1,5,2,60,0,1,F,F,F,F,T,F,T,T,T,F,T,F,F
30,5,10,13,5,5,4,3,2,40,0,0,F,F,F,F,F,F,F,T,T,T,F,F,T
29,8,10,13,3,11,1,5,2,50,0,1,T,T,T,F,T,F,F,T,T,F,T,F,F
19,5,16,10,5,9,4,3,2,35,0,0,T,T,T,T,F,T,F,T,T,F,T,F,F
47,5,10,13,3,5,6,5,1,40,0,1,T,T,T,F,F,T,T,T,T,T,F,T,F
20,5,16,10,5,2,4,5,1,28,-1719,0,T,T,T,F,F,T,T,T,T,T,F,T,T
31,5,8,12,3,2,1,5,2,40,0,1,T,T,T,F,T,F,T,F,T,T,T,F,T
35,1,12,9,3,1,1,5,2,40,0,1,T,T,T,T,F,F,F,F,T,T,F,F,T
39,5,16,10,1,4,2,5,2,40,0,0,T,T,T,T,F,T,T,T,F,T,T,T,F
28,5,8,12,5,13,2,5,1,60,0,0,F,F,F,F,T,T,T,T,F,F,F,T,F
24,5,12,9,5,9,2,5,1,40,-1762,0,T,T,T,F,T,T,T,F,T,F,T,T,F
38,7,12,9,3,4,1,5,2,35,4386,1,T,T,T,F,T,F,T,T,T,T,T,T,T
37,5,10,13,3,13,1,5,2,50,0,1,F,F,F,T,F,T,F,F,T,F,F,T,T
46,5,8,12,1,14,2,3,1,36,0,0,F,F,F,T,F,T,F,F,F,T,F,T,F
38,2,13,14,3,11,1,5,2,40,0,1,T,T,T,T,T,T,F,T,F,T,T,F,T
43,7,12,9,3,4,1,5,2,60,0,1,F,F,F,F,F,F,T,F,T,F,F,F,T
27,5,9,11,3,2,6,5,1,35,0,1,T,T,T,F,T,T,F,T,T,T,T,T,T
20,5,16,10,5,13,4,5,2,20,0,0,T,T,T,T,F,F,T,F,F,T,F,T,T
49,5,16,10,3,4,1,2,2,40,0,1,T,T,T,F,T,F,F,F,F,F,T,F,T
61,6,12,9,3,4,1,5,2,40,0,1,T,T,T,F,F,F,F,T,T,F,T,F,F
27,5,16,10,5,13,4,5,1,40,0,0,T,T,T,F,T,F,T,F,T,F,F,T,F
19,5,16,10,5,9,4,5,2,30,0,0,F,F,F,F,F,T,T,T,F,T,F,F,T
45,5,9,11,5,11,2,5,1,40,-1564,0,T,T,T,T,T,F,T,T,F,F,T,T,T
70,5,16,10,5,14,3,5,2,40,0,0,F,F,F,T,F,F,F,T,T,F,F,T,F
31,5,12,9,5,15,5,3,1,30,0,0,T,T,T,F,F,F,F,T,F,F,T,F,T
22,5,16,10,3,9,1,5,2,24,0,1,F,F,F,T,F,T,T,T,T,T,T,F,F
36,5,12,9,7,9,5,5,1,24,0,0,T,T,T,F,F,T,T,F,F,T,T,T,T
64,5,2,7,3,4,1,5,2,40,-2179,1,T,T,T,F,T,T,T,F,T,F,F,F,T
43,1,16,10,1,1,2,5,1,40,0,0,T,T,T,T,F,F,T,F,F,F,T,F,T
47,3,16,10,1,2,5,5,1,38,0,0,F,F,F,F,F,T,F,F,F,T,F,T,T
34,5,12,9,5,2,2,5,1,40,0,0,F,F,F,F,F,F,T,T,T,F,T,T,T
33,5,10,13,5,5,3,2,1,40,0,0,F,F,F,F,T,F,T,T,T,F,T,F,F
21,5,12,9,5,4,4,5,2,35,0,0,F,F,F,F,F,T,T,T,T,T,F,F,F
52,1,12,9,1,1,2,5,2,45,0,0,F,F,F,T,T,T,F,T,T,T,F,F,T
48,5,12,9,3,4,1,5,2,46,0,1,T,T,T,F,F,T,F,T,F,F,T,F,T
23,5,10,13,5,7,2,5,2,40,0,0,F,F,F,T,F,T,T,F,T,T,T,T,F
71,7,16,10,6,13,5,3,2,2,-1816,0,F,F,F,T,T,F,T,F,T,F,F,F,T
29,5,12,9,1,4,2,5,2,60,0,0,T,T,T,F,F,T,T,T,T,F,F,F,F
42,5,10,13,6,9,3,3,2,50,0,0,F,F,F,T,F,F,F,F,F,T,F,F,F
68,1,4,2,1,1,2,5,1,20,0,0,T,T,T,F,F,T,T,T,T,T,T,T,T
25,5,12,9,5,9,5,5,1,40,0,0,T,T,T,F,F,T,F,T,T,T,F,F,T
44,6,13,14,1,5,5,2,1,40,0,0,T,T,T,T,F,F,T,F,F,T,T,T,F
28,5,12,9,5,5,2,2,1,40,0,0,T,T,T,F,T,F,T,T,T,F,F,F,T
45,7,13,14,3,13,1,5,2,40,0,1,F,F,F,T,F,F,T,F,F,T,F,T,F
36,5,16,10,1,9,5,5,1,40,0,0,T,T,T,T,T,T,T,F,T,F,F,T,F
39,2,8,12,5,5,2,5,2,42,0,0,F,F,F,F,F,T,F,T,T,F,T,F,F
46,8,13,14,7,12,5,5,2,40,0,0,F,F,F,T,F,T,T,T,T,F,F,T,T
18,5,2,7,5,7,4,5,2,16,0,0,F,F,F,F,T,F,T,F,F,F,T,F,T
66,3,9,11,7,11,2,5,1,20,0,0,F,F,F,T,T,F,T,F,F,T,T,F,T
27,5,12,9,5,9,2,5,2,40,-1980,0,F,F,F,T,F,T,F,F,F,T,F,T,T
28,8,12,9,3,12,1,5,2,40,0,1,F,F,F,T,F,F,T,F,T,T,T,F,T
51,5,16,10,3,13,1,5,2,40,-1977,1,T,T,T,T,F,T,T,T,F,F,T,T,F
27,5,10,13,5,4,2,5,2,50,0,0,T,T,T,T,T,F,F,F,T,F,F,T,T
28,8,10,13,3,11,1,5,2,40,0,1,T,T,T,F,F,T,T,T,F,F,F,T,F
27,5,12,9,4,13,5,5,1,25,0,0,F,F,F,T,F,T,T,F,F,F,T,F,F
21,5,12,9,5,4,4,3,2,40,0,0,T,T,T,T,F,F,T,T,F,F,F,T,T
34,5,12,9,5,7,2,3,2,40,0,0,F,F,F,T,T,T,F,T,T,F,F,T,F
18,5,12,9,5,9,4,5,2,12,0,0,F,F,F,F,T,F,T,T,T,T,T,T,F
33,5,10,13,3,11,1,5,2,65,0,1,F,F,F,T,F,T,F,T,F,F,T,F,T
44,3,16,10,3,5,1,3,2,38,0,1,T,T,T,T,T,T,F,T,F,T,T,F,F
43,5,16,10,1,2,2,5,1,40,0,0,T,T,T,F,F,T,F,F,F,F,T,F,F
30,5,16,10,5,4,2,3,2,45,0,0,T,T,T,F,F,T,F,T,T,F,F,F,F
40,5,6,4,3,8,1,5,2,40,0,1,F,F,F,T,T,F,T,F,T,F,T,T,F
37,2,16,10,3,2,1,5,2,42,0,1,F,F,F,F,T,T,T,F,T,T,F,F,T
34,5,12,9,3,2,1,3,2,40,0,1,T,T,T,T,T,T,F,T,T,F,F,T,F
41,7,10,13,1,5,2,5,1,40,0,0,F,F,F,T,F,T,F,T,T,T,F,T,T
53,1,10,13,1,1,2,5,1,50,0,0,F,F,F,T,T,F,T,T,T,F,T,F,T
31,5,13,14,3,11,6,5,1,50,0,1,T,T,T,F,F,T,T,T,T,F,F,F,T
58,8,11,16,3,11,1,5,2,1,0,1,T,T,T,F,T,T,T,T,T,T,T,F,F
38,5,16,10,1,8,2,3,1,28,0,0,T,T,T,F,F,F,F,F,T,F,F,F,F
24,5,16,10,3,8,1,5,2,40,0,1,T,T,T,F,T,F,T,F,F,T,F,F,F
41,3,10,13,3,4,1,3,2,40,0,1,F,F,F,F,F,F,F,T,F,F,F,F,T
47,5,16,10,3,14,1,5,2,45,0,1,F,F,F,T,F,F,T,F,T,F,T,T,F
41,2,10,13,3,14,1,5,2,24,0,1,T,T,T,F,T,F,T,F,F,F,F,T,F
23,5,5,3,3,15,3,5,2,40,0,0,T,T,T,F,T,F,F,F,F,F,T,T,F
36,5,16,10,1,4,2,5,2,40,0,0,F,F,F,F,F,F,F,T,F,T,T,T,F
40,2,13,14,5,5,2,5,1,55,14084,0,T,T,T,T,T,F,T,T,T,F,T,T,T
35,5,13,14,3,11,3,5,2,40,7298,0,T,T,T,T,T,F,T,T,F,T,F,T,T
24,7,12,9,5,13,2,5,2,40,0,0,F,F,F,F,T,F,T,F,T,F,F,F,F
26,5,13,14,5,11,2,5,1,40,-1876,0,F,F,F,T,F,F,T,T,T,F,T,F,F
19,1,12,9,5,1,4,5,2,40,0,0,T,T,T,F,F,F,T,F,F,F,T,F,F
51,5,10,13,3,5,1,5,2,50,0,1,T,T,T,T,T,F,T,F,F,T,T,F,F
42,3,16,10,5,11,2,5,1,40,-1340,0,T,T,T,T,T,T,F,F,F,F,F,F,F
37,8,12,9,1,2,5,5,1,35,0,0,T,T,T,F,F,T,F,F,T,F,F,T,F
18,5,2,7,5,13,4,5,1,40,0,0,T,T,T,T,F,F,T,T,F,T,F,T,F
36,5,10,13,3,9,1,3,2,36,7298,1,T,T,T,T,F,T,F,T,T,F,T,T,F
35,5,12,9,1,4,2,5,2,60,0,0,T,T,T,T,T,T,T,T,T,T,F,T,T
58,6,12,9,3,13,6,5,1,35,15024,1,F,F,F,F,T,F,F,T,T,F,F,T,T
17,5,2,7,5,13,4,5,1,12,0,0,T,T,T,T,T,F,F,F,T,F,F,F,T
44,3,12,9,3,15,1,3,2,40,0,1,F,F,F,F,T,T,F,F,T,T,F,F,T
37,5,12,9,3,4,1,5,2,40,0,1,T,T,T,T,T,T,F,F,F,F,F,T,T
35,5,16,10,5,13,2,1,1,40,0,0,F,F,F,T,T,F,F,T,T,F,T,T,F
60,5,12,9,3,4,1,2,2,40,0,1,F,F,F,T,F,F,F,F,T,T,F,F,T
54,6,6,4,3,8,1,5,2,40,0,1,F,F,F,T,T,T,F,F,T,F,T,F,F
37,5,10,13,5,5,2,3,2,60,0,0,T,T,T,F,T,F,F,F,F,T,F,F,T
50,5,8,12,1,13,2,5,1,40,0,0,T,T,T,F,F,T,F,T,T,T,F,F,F
38,5,10,13,3,13,1,5,2,50,0,1,F,F,F,F,F,F,F,F,T,T,F,T,T
45,5,10,13,3,11,1,5,2,55,0,1,T,T,T,T,F,T,T,T,T,T,T,T,T
25,5,1,6,5,4,2,5,2,40,0,0,F,F,F,T,F,T,F,F,T,T,F,T,F
31,5,16,10,3,7,1,5,2,40,0,1,T,T,T,F,F,F,F,T,T,F,T,T,T
64,1,4,2,1,1,2,5,2,40,0,0,F,F,F,T,F,T,F,F,T,T,F,F,T
90,5,12,9,5,9,2,3,2,40,-2206,0,T,T,T,F,F,T,F,F,F,T,F,T,T
54,5,12,9,3,2,1,3,2,20,0,1,T,T,T,T,F,T,F,F,F,F,F,T,T
53,3,14,1,5,8,2,5,1,35,0,0,T,T,T,F,F,F,T,T,T,T,F,F,F
18,5,12,9,5,13,4,5,1,40,0,0,T,T,T,T,T,F,T,T,F,F,T,T,T
60,1,1,6,1,1,2,1,1,10,0,0,F,F,F,F,T,T,F,T,F,F,F,F,T
66,7,12,9,3,6,1,5,2,50,1409,1,T,T,T,T,F,F,F,F,F,F,T,T,F
75,5,9,11,7,2,2,5,1,20,0,0,F,F,F,F,T,T,F,F,F,F,T,T,F
65,5,12,9,1,2,2,5,1,40,0,0,T,T,T,T,T,T,F,T,F,F,T,T,T
35,5,2,7,6,15,2,3,2,40,3674,0,F,F,F,F,T,F,F,F,F,T,T,T,T
41,5,12,9,1,13,5,3,1,38,0,0,F,F,F,F,F,F,F,T,F,F,T,F,F
25,5,16,10,5,2,2,5,2,42,0,0,F,F,F,F,T,T,F,F,F,F,F,F,F
33,5,16,10,1,4,3,4,1,40,0,0,T,T,T,T,F,F,T,T,F,T,F,T,T
28,5,15,15,5,11,2,5,2,55,0,0,T,T,T,F,T,T,F,T,F,F,F,T,F
59,8,12,9,3,9,1,5,2,40,0,1,T,T,T,T,T,F,T,F,F,F,T,T,T
40,8,16,10,5,2,2,5,1,38,0,0,F,F,F,T,F,F,F,F,T,T,T,T,F
41,5,10,13,3,5,1,5,2,50,0,1,F,F,F,T,F,F,F,T,F,T,F,T,T
38,3,13,14,3,5,1,5,2,70,0,1,T,T,T,T,T,T,F,T,F,F,F,F,T
23,5,12,9,5,15,4,5,2,40,0,0,F,F,F,F,T,F,T,F,T,F,F,F,T
40,5,10,13,3,11,1,5,2,40,0,1,T,T,T,F,T,T,T,T,F,T,F,T,F
41,7,12,9,3,9,6,5,1,20,0,1,F,F,F,T,F,T,F,T,F,F,F,T,F
24,8,8,12,3,12,1,5,2,50,0,1,T,T,T,T,F,F,T,F,T,T,F,F,T
20,1,16,10,5,1,4,5,2,20,0,0,T,T,T,T,F,F,F,F,F,F,F,F,T
38,5,16,10,1,4,2,5,2,40,-1741,0,T,T,T,F,F,F,T,T,F,F,T,T,F
56,5,12,9,3,2,1,5,2,35,0,1,F,F,F,F,T,F,T,F,F,T,F,T,T
58,5,12,9,3,2,1,5,2,45,0,1,F,F,F,T,F,T,F,T,T,T,T,T,F
32,5,12,9,5,9,2,5,1,34,0,0,T,T,T,F,F,F,T,F,T,T,T,T,F
40,5,8,12,3,14,1,5,2,60,-1977,1,F,F,F,T,T,F,F,F,F,T,F,F,T
45,5,12,9,3,2,1,5,2,40,0,1,T,T,T,T,F,F,T,T,T,F,T,T,F
41,5,15,15,3,11,6,5,1,40,0,1,T,T,T,T,T,F,T,F,F,F,T,F,F
42,5,10,13,3,2,6,3,1,40,0,1,T,T,T,T,T,F,F,T,T,F,F,F,T
59,3,1,6,7,9,5,3,1,30,0,0,F,F,F,F,F,T,F,F,T,T,T,F,F
19,3,16,10,5,2,4,5,2,40,0,0,F,F,F,F,F,T,T,F,T,T,F,T,T
58,5,16,10,5,15,2,5,2,20,0,0,F,F,F,F,F,F,F,T,F,F,T,F,T
42,7,12,9,3,6,1,2,2,40,0,1,F,F,F,F,T,T,T,T,T,F,T,F,T
20,5,12,9,5,9,4,5,1,40,0,0,F,F,F,T,F,F,T,T,T,F,T,T,T
32,5,12,9,6,9,2,5,1,30,0,0,F,F,F,T,T,T,T,T,F,F,F,F,T
45,5,9,11,7,5,2,5,1,45,0,0,T,T,T,F,T,T,T,T,F,T,T,T,T
50,5,6,4,1,4,2,5,2,40,0,0,T,T,T,T,F,F,T,T,F,T,T,F,T
36,5,10,13,1,11,4,5,1,40,0,0,T,T,T,F,T,F,F,T,F,T,T,T,T
45,5,12,9,3,13,1,5,2,60,0,1,T,T,T,T,T,T,F,T,T,T,T,T,F
17,5,2,7,5,9,4,5,2,12,0,0,T,T,T,F,F,F,T,F,F,T,F,F,T
59,5,16,10,3,13,1,5,2,40,4064,1,F,F,F,F,F,F,F,F,F,F,F,T,F
26,5,2,7,3,4,1,5,2,40,0,1,F,F,F,F,T,T,T,T,F,T,F,T,F
37,6,16,10,3,5,1,2,2,75,0,1,F,F,F,T,F,T,F,T,F,F,T,T,T
19,1,16,10,5,1,4,5,2,24,0,0,T,T,T,F,F,T,F,F,T,F,T,F,F
64,5,12,9,3,5,1,5,2,40,0,1,T,T,T,T,T,T,T,F,T,F,F,F,T
33,5,10,13,5,11,2,5,1,45,0,0,F,F,F,F,T,T,T,F,F,F,T,F,F
33,5,12,9,3,4,6,5,1,40,0,1,T,T,T,F,T,F,T,T,F,F,F,F,F
61,5,12,9,3,5,1,5,2,40,0,1,F,F,F,F,F,T,F,F,F,T,F,T,T
17,5,7,5,5,9,4,5,2,24,1055,0,F,F,F,T,T,T,T,T,F,F,T,T,F
50,7,13,14,3,6,1,5,2,98,2407,1,F,F,F,T,F,F,F,T,F,F,F,T,T
27,3,13,14,5,11,4,5,2,35,0,0,T,T,T,F,T,F,T,T,F,T,F,F,F
30,5,12,9,1,11,4,5,1,40,0,0,F,F,F,T,F,T,F,F,T,F,T,T,F
